Date,SpotPrice,FuturesPrice,TheoreticalPrice,PriceDifference
2023-09-20,4402.2,4649.0,4433.316920547945,215.6830794520547
2023-09-19,4443.95,4692.0,4475.7272863013695,216.27271369863047
2023-09-18,4453.53,4696.0,4485.741833424658,210.25816657534233
2023-09-15,4450.32,4692.0,4450.32,241.6800000000003
2023-09-14,4505.1,4750.0,4505.470282191782,244.52971780821827
2023-09-13,4467.44,4712.0,4468.17437369863,243.82562630137
2023-09-12,4461.9,4708.0,4463.000194520548,244.99980547945233
2023-09-11,4487.46,4734.0,4488.935329315069,245.06467068493112
2023-09-08,4457.49,4705.0,4460.054583287671,244.94541671232855
2023-09-07,4451.14,4699.0,4454.066776986301,244.9332230136988
2023-09-06,4465.48,4715.0,4468.783231780822,246.21676821917845
2023-09-05,4496.83,4747.25,4500.526024657534,246.72397534246556
2023-09-01,4515.77,4760.0,4520.966228493151,239.033771506849
2023-08-31,4507.66,4755.0,4513.217389041096,241.78261095890412
2023-08-30,4514.87,4763.0,4520.807363287671,242.19263671232875
2023-08-29,4497.63,4746.0,4503.914359726028,242.08564027397188
2023-08-28,4433.31,4681.0,4439.868869589041,241.13113041095858
2023-08-25,4405.71,4653.0,4413.314376164384,239.68562383561584
2023-08-24,4376.31,4622.0,4384.223327671233,237.77667232876684
2023-08-23,4436.01,4684.0,4444.395881917809,239.60411808219123
2023-08-22,4387.55,4636.0,4396.204893150685,239.79510684931483
2023-08-21,4399.77,4649.0,4408.810623287672,240.18937671232834
2023-08-18,4369.71,4618.0,4379.7663189041095,238.23368109589046
2023-08-17,4370.36,4621.0,4380.777022465753,240.22297753424664
2023-08-16,4404.33,4657.0,4415.189991780821,241.8100082191786
2023-08-15,4437.86,4692.0,4449.167424109589,242.83257589041114
2023-08-14,4489.72,4745.0,4501.528578630137,243.47142136986258
2023-08-11,4464.05,4719.0,4476.891787671233,242.10821232876697
2023-08-10,4468.83,4724.0,4482.052839452054,241.9471605479457
2023-08-09,4467.71,4724.0,4481.296734520548,242.70326547945206
2023-08-08,4499.38,4757.0,4513.432858082192,243.56714191780793
2023-08-07,4518.44,4777.25,4532.923766575343,244.3262334246574
2023-08-04,4478.03,4745.0,4493.488404931506,251.511595068494
2023-08-03,4501.89,4770.0,4517.800789315069,252.19921068493113
2023-08-02,4513.39,4785.0,4529.712396712329,255.28760328767112
2023-08-01,4576.73,4852.0,4593.657631506849,258.3423684931513
2023-07-31,4588.96,4860.0,4606.3100405479445,253.68995945205552
